nct_id,nct_date,nct_year
NCT01665716,Jul-11,2011
NCT01665989,Aug-12,2012
NCT01666028,Nov-12,2012
NCT01666938,Apr-12,2012
NCT01667185,Jul-12,2012
NCT01667783,Aug-12,2012
NCT01669616,Aug-12,2012
NCT01671293,Sep-11,2011
NCT01671306,Jan-11,2011
NCT01671345,Nov-13,2013
NCT01671735,Sep-12,2012
NCT01672255,Oct-12,2012
NCT01672762,Jun-12,2012
NCT01673178,Oct-12,2012
NCT01673191,Nov-12,2012
NCT01674348,Apr-11,2011
NCT01675271,Feb-12,2012
NCT01675310,Jan-12,2012
NCT01676116,Aug-12,2012
NCT01676220,Aug-12,2012
NCT01676233,Sep-12,2012
NCT01677013,May-11,2011
NCT01677546,Jan-11,2011
NCT01677611,Dec-08,2008
NCT01677936,Jun-12,2012
NCT01678235,Sep-11,2011
NCT01678469,Nov-11,2011
NCT01678742,Aug-12,2012
NCT01678820,Oct-12,2012
NCT01679210,Jan-13,2013
NCT01680133,Jun-07,2007
NCT01680185,Aug-12,2012
NCT01680341,Aug-12,2012
NCT01680653,May-12,2012
NCT01680926,Jul-09,2009
NCT01680978,Oct-12,2012
NCT01681147,Jun-12,2012
NCT01681173,May-10,2010
NCT01681290,Oct-12,2012
NCT01682759,Sep-12,2012
NCT01682902,Sep-12,2012
NCT01682954,Nov-12,2012
NCT01683266,Sep-12,2012
NCT01683331,Aug-12,2012
NCT01684709,Dec-12,2012
NCT01684813,Oct-12,2012
NCT01684956,Aug-12,2012
NCT01686945,19-Sep-12,2012
NCT01688778,Jun-12,2012
NCT01689051,Mar-12,2012
NCT01689129,Sep-12,2012
NCT01689142,Sep-12,2012
NCT01690091,Nov-12,2012
NCT01690208,May-12,2012
NCT01690481,Dec-06,2006
NCT01691287,Oct-12,2012
NCT01691755,Nov-12,2012
NCT01691846,Oct-12,2012
NCT01691989,Dec-12,2012
NCT01692002,Jan-13,2013
NCT01693302,Aug-07,2007
NCT01694758,Nov-12,2012
NCT01695278,Sep-12,2012
NCT01696266,Sep-12,2012
NCT01697592,Oct-12,2012
NCT01697618,Apr-97,1997
NCT01697631,22-Jul-02,2002
NCT01697657,Sep-01,2001
NCT01698008,Dec-12,2012
NCT01698112,Jul-06,2006
NCT01698385,Feb-08,2008
NCT01698528,Oct-12,2012
NCT01698775,Oct-12,2012
NCT01698931,26-Apr-02,2002
NCT01699074,May-13,2013
NCT01699737,Sep-12,2012
NCT01701570,Apr-12,2012
NCT01702012,Jan-13,2013
NCT01702298,Dec-12,2012
NCT01703208,Oct-12,2012
NCT01703221,Oct-12,2012
NCT01703286,Oct-12,2012
NCT01703611,Dec-12,2012
NCT01704261,Oct-12,2012
NCT01704378,18-Apr-01,2001
NCT01704417,Oct-12,2012
NCT01704612,Jul-11,2011
NCT01705210,May-12,2012
NCT01705899,Nov-06,2006
NCT01706211,Oct-98,1998
NCT01707134,Sep-97,1997
NCT01707147,Nov-12,2012
NCT01707979,Sep-12,2012
NCT01708694,Aug-12,2012
NCT01709123,Aug-07,2007
NCT01709305,Nov-12,2012
NCT01709851,Nov-12,2012
NCT01709929,Oct-05,2005
NCT01710371,Dec-12,2012
NCT01710774,Oct-12,2012
NCT01711385,Apr-09,2009
NCT01712061,Dec-12,2012
NCT01713023,Mar-13,2013
NCT01713348,Oct-12,2012
NCT01713530,Feb-13,2013
NCT01714674,Oct-12,2012
NCT01714986,Mar-09,2009
NCT01715649,Nov-12,2012
NCT01717313,Dec-12,2012
NCT01718093,Oct-12,2012
NCT01719003,Oct-12,2012
NCT01719029,Aug-07,2007
NCT01720290,25-Jul-02,2002
NCT01720303,19-Sep-02,2002
NCT01720446,Feb-13,2013
NCT01722227,Nov-12,2012
NCT01722240,Nov-12,2012
NCT01722266,Nov-12,2012
NCT01722643,Jan-13,2013
NCT01724190,Nov-12,2012
NCT01724502,Sep-12,2012
NCT01724515,Sep-12,2012
NCT01724645,Sep-10,2010
NCT01725126,Feb-13,2013
NCT01725412,Nov-12,2012
NCT01726777,Oct-12,2012
NCT01726829,Nov-12,2012
NCT01727349,Dec-11,2011
NCT01728116,Dec-12,2012
NCT01728467,Nov-12,2012
NCT01728714,19-May-14,2014
NCT01729078,Oct-12,2012
NCT01729117,May-09,2009
NCT01729403,Dec-12,2012
NCT01729546,Nov-12,2012
NCT01730014,Oct-12,2012
NCT01730196,Sep-09,2009
NCT01730885,Nov-12,2012
NCT01731431,Jan-12,2012
NCT01732705,Sep-12,2012
NCT01733524,Oct-12,2012
NCT01733758,Feb-13,2013
NCT01734785,Jan-13,2013
NCT01735643,Jan-11,2011
NCT01736228,Nov-12,2012
NCT01736865,Dec-12,2012
NCT01738802,Jan-12,2012
NCT01739205,Jan-08,2008
NCT01739283,Jul-12,2012
NCT01739712,Oct-12,2012
NCT01739829,Aug-11,2011
NCT01739868,Apr-11,2011
NCT01740921,Jan-11,2011
NCT01741181,Sep-12,2012
NCT01741467,May-12,2012
NCT01742208,Feb-13,2013
NCT01743014,Jul-12,2012
NCT01743599,Feb-08,2008
NCT01743963,Dec-12,2012
NCT01744132,Oct-12,2012
NCT01746017,Dec-12,2012
NCT01747967,Nov-11,2011
NCT01748305,Dec-12,2012
NCT01748552,Dec-12,2012
NCT01749345,Jul-12,2012
NCT01752127,Jul-11,2011
NCT01752985,Mar-13,2013
NCT01753362,Dec-12,2012
NCT01754337,Dec-12,2012
NCT01754467,Feb-13,2013
NCT01754662,Oct-11,2011
NCT01755156,Jan-13,2013
NCT01755351,Dec-11,2011
NCT01755442,Nov-12,2012
NCT01755468,Apr-13,2013
NCT01756105,Jul-12,2012
NCT01758016,Nov-12,2012
NCT01758380,Jan-13,2013
NCT01758471,Dec-12,2012
NCT01760447,Feb-13,2013
NCT01761318,Nov-13,2013
NCT01762644,Aug-15,2015
NCT01762657,Sep-14,2014
NCT01762826,Sep-12,2012
NCT01764373,Jun-12,2012
NCT01765517,Oct-13,2013
NCT01765946,Jun-10,2010
NCT01766570,Mar-12,2012
NCT01766778,May-13,2013
NCT01768208,Oct-12,2012
NCT01768546,Feb-12,2012
NCT01769378,Jan-13,2013
NCT01769404,Feb-13,2013
NCT01771250,Oct-13,2013
NCT01771835,Aug-11,2011
NCT01772251,Feb-13,2013
NCT01772446,Jun-13,2013
